latitude,longitude,room_type,property_type,accommodates,bedrooms,bathrooms,beds,number_of_reviews,reviews_per_month,review_scores_rating,minimum_nights,maximum_nights,availability_365,instant_bookable,host_is_superhost,price
43.76243,11.28772,Private room,Private room in rental unit,2,1.0,1.0,0.0,62.0,0.77,4.84,2,1125,217,0.0,0.0,86.0
43.76995086669922,11.265737533569336,Entire home/apt,Entire condo,2,1.0,1.0,2.0,85.0,0.9,4.48,2,28,356,1.0,0.0,166.0
43.77777,11.255,Private room,Private room in rental unit,2,1.0,1.0,1.0,265.0,3.05,4.89,1,7,27,0.0,1.0,57.0
43.76777,11.32215,Entire home/apt,Entire rental unit,6,3.0,1.0,5.0,409.0,4.31,4.64,2,100,153,1.0,0.0,88.0
43.77244,11.25607,Entire home/apt,Entire rental unit,4,2.0,1.0,2.0,217.0,2.3,4.42,2,1125,119,1.0,0.0,210.0
43.77697,11.25643,Entire home/apt,Entire rental unit,4,2.0,2.0,4.0,8.0,0.09,4.38,3,1125,162,1.0,1.0,356.0
43.76669,11.25474,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,29.0,0.33,4.83,1,30,277,1.0,0.0,181.0
43.76372,11.2779,Private room,Private room in rental unit,2,1.0,1.0,1.0,28.0,0.3,4.82,2,7,178,0.0,0.0,153.0
43.77614,11.25002,Entire home/apt,Entire rental unit,2,1.0,1.0,2.0,498.0,5.26,4.96,2,25,319,1.0,1.0,163.0
43.78054225833469,11.257164000112477,Private room,Private room in condo,1,1.0,1.0,1.0,58.0,0.62,4.97,1,7,137,0.0,1.0,71.0
43.76781,11.26401,Entire home/apt,Entire rental unit,4,1.0,1.0,1.0,44.0,0.47,4.89,3,1125,360,1.0,0.0,159.0
43.77357,11.26034,Private room,Private room in rental unit,2,1.0,1.0,1.0,101.0,1.11,4.64,2,90,144,1.0,0.0,50.0
43.77652,11.25699,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,265.0,2.92,4.95,4,28,46,0.0,1.0,142.0
43.746826171875,11.233893394470217,Entire home/apt,Entire loft,4,1.0,1.0,2.0,130.0,1.5,4.75,2,28,208,0.0,1.0,70.0
43.77579,11.26199,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,180.0,1.93,5.0,4,365,194,1.0,1.0,174.0
43.76674,11.24403,Entire home/apt,Entire condo,2,0.0,1.0,1.0,115.0,1.22,4.62,2,1125,214,1.0,0.0,86.0
43.77137,11.25079,Entire home/apt,Entire rental unit,10,4.0,4.0,7.0,45.0,0.49,4.76,3,1124,292,1.0,1.0,1088.0
43.77063,11.25042,Entire home/apt,Entire loft,4,1.0,1.0,3.0,413.0,4.48,4.84,2,13,253,1.0,1.0,136.0
43.76344,11.23944,Entire home/apt,Entire rental unit,5,2.0,2.0,3.0,254.0,2.7,4.86,2,29,217,0.0,1.0,128.0
43.77966,11.24444,Private room,Private room in rental unit,2,1.0,1.0,1.0,203.0,2.36,4.74,1,30,344,1.0,1.0,74.0
43.79604,11.21856,Entire home/apt,Entire condo,4,2.0,1.0,2.0,190.0,2.02,4.59,2,30,151,0.0,0.0,70.0
43.77124,11.23408,Private room,Private room in bed and breakfast,2,1.0,1.0,2.0,56.0,0.59,4.77,1,1125,77,1.0,1.0,99.0
43.76979,11.26449,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,337.0,3.58,4.72,1,1125,341,1.0,0.0,208.0
43.76942,11.24748,Entire home/apt,Entire rental unit,8,4.0,2.5,7.0,74.0,0.82,4.95,2,30,191,1.0,1.0,1098.0
43.8134,11.25192,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,131.0,1.4,4.65,31,1125,230,1.0,1.0,45.0
43.77337,11.23275,Entire home/apt,Entire rental unit,8,3.0,2.0,5.0,242.0,2.61,4.81,2,16,144,1.0,0.0,171.0
43.76689,11.31457,Private room,Private room in bed and breakfast,2,3.0,3.0,6.0,52.0,0.61,4.79,1,1125,101,1.0,1.0,110.0
